"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3N2YPY1GI6Y9BVGWQZU0F1M3IVPVE1","www.funwithasl.net/static/trick.mp4","yes","eye","trick","back","gym","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:08:31 UTC 2014"
"3PR3LXCWSFZKKOUAI3FWB8ID79GX9V","www.funwithasl.net/static/slide.mp4","uncle","pig","slide","light","nurse","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:09:03 UTC 2014"
"356ZPKYPUHHUCG0R4OXVGCP1EJTPYP","www.funwithasl.net/static/robin.mp4","wall","find","robin","garden","day","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:10:12 UTC 2014"
"3NRZ1LDP7W6UH6AW0AZEUJY3KDWZPP","www.funwithasl.net/static/fish.mp4","open","good","fish","fox","mine","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:10:04 UTC 2014"
"3CRWSLD91K4CXZZC6LW5XHX4V4IMOE","www.funwithasl.net/static/pack.mp4","leader","dead","pack","big","mustache","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:10:32 UTC 2014"
"30UZJB2POHCP33LKVOVRSCO7EIX53D","www.funwithasl.net/static/spider.mp4","week","time","spider","person","hope","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:13:04 UTC 2014"
"3GONHBMNHVYOW3DJ8U7MDF48F8LZMT","www.funwithasl.net/static/magic.mp4","servant","hand","magic","lot","long","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:13:40 UTC 2014"
"3A520CCNWN0PJ7DYF434JE8QXLOAEF","www.funwithasl.net/static/rabbit.mp4","hurry","sure","rabbit","puzzled","ill","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:11:54 UTC 2014"
"3PUV2Q8SV44PAB4QPNSG87ABFR8DBK","www.funwithasl.net/static/mitten.mp4","river","woman","mitten","craft","hand","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:11:17 UTC 2014"
"3R0WOCG21M946ADWPE9BDX2Z4CEUDH","www.funwithasl.net/static/pipe.mp4","wind","singer","pipe","earth","rose","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:13:49 UTC 2014"
"3FJ2RVH25Z6JJ8RDUEU3LIOHU0G29Q","www.funwithasl.net/static/meadow.mp4","trophy","west","rose","meadow","moon","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:11:08 UTC 2014"
"30QQTY5GMKKOP1CMY16PD5S3I1C7U2","www.funwithasl.net/static/class.mp4","gym","class","time","coward","potty","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:13:46 UTC 2014"
"3QX22DUVOOH7NJ897XIJS9RCRXFMVG","www.funwithasl.net/static/classroom.mp4","good","come","classroom","daddy","awful","A2WNW8A4MOR7T7","Choice 3","Fri Jun 27 04:11:56 UTC 2014"
"36U4VBVNQODY7KW17F4VIMJ3JD5RUK","www.funwithasl.net/static/pepper.mp4","right","jury","pepper","white","sentence","A841FR9QWUPT4","Choice 3","Fri Jun 27 04:14:18 UTC 2014"
