"HITID","Sign_Name","Choice_1","Choice_2","Choice_3","Choice_4","Choice_5","Worker","Answer","Date"
"3THR0FZ95PTSRHHR69VQX4IFV6KLOH","www.funwithasl.net/static/tt/sign12.html","battle","warrior","baseball","sport","angry","A1GGOZPHYU0OC0","Choice 3","Tue Jul 08 06:38:58 UTC 2014"
"36GJS3V78VQY4ECTF565CGWL0VOGJN","www.funwithasl.net/static/tt/sign13.html","home","deaf","sick","hungry","face","A1IV0802ICNA0A","Choice 2","Tue Jul 08 06:27:53 UTC 2014"
"3VI0PC2ZAYKNRBYGKSYE8YD22FUOX6","www.funwithasl.net/static/tt/sign14.html","Smell","sick","old","kid","short","A3HB9PPUZU565U","Choice 1","Tue Jul 08 05:34:47 UTC 2014"
"3B9XR6P1WEV2DX4IZJERB55OKIWJB9","www.funwithasl.net/static/tt/sign15.html","coffee","cry","silly","feather","snow","A1IV0802ICNA0A","Choice 2","Tue Jul 08 05:53:56 UTC 2014"
"3HKIF5DF6YX9Y2ZKTTFSNMII4QD9GM","www.funwithasl.net/static/tt/sign16.html","telescope","respect","stupid","perspective","wild","A1IV0802ICNA0A","Choice 4","Tue Jul 08 05:46:32 UTC 2014"
"3XDSWAMB22S29P0189UVJQNSGYOQCE","www.funwithasl.net/static/tt/sign17.html","clean","spinach","water","coffee","milk","A1IV0802ICNA0A","Choice 5","Tue Jul 08 06:28:16 UTC 2014"
"3EHVO81VN5L59TR09MIHTGC0LE21H4","www.funwithasl.net/static/tt/sign18.html","head","ignorance","silly","playful","intelligence","A3HB9PPUZU565U","Choice 4","Tue Jul 08 05:54:52 UTC 2014"
"3LN50BUKPVBACHTSL985M4N55BGLPY","www.funwithasl.net/static/tt/sign19.html","school","applaud","music","television","quarrel","A1IV0802ICNA0A","Choice 5","Tue Jul 08 05:30:39 UTC 2014"
"306996CF6WKVIGOE9U8L7592Q1WB1X","www.funwithasl.net/static/tt/sign20.html","restaurant","hungry","supermarket","breakfast","stomach-ache","A3HB9PPUZU565U","Choice 1","Tue Jul 08 05:41:12 UTC 2014"

"3U74KRR67MLYS9PKE3X446SRZ91TND","www.funwithasl.net/static/tt/sign1.html","dinner","direction","play","sister","bird","A1IV0802ICNA0A","Choice 2","Tue Jul 08 06:34:36 UTC 2014"
"3KL228NDMVMTFYIBXQ6HDVWYFKOGKM","www.funwithasl.net/static/tt/sign2.html","shout","mother","hungry","home","scarecrow","A841FR9QWUPT4","Choice 1","Tue Jul 08 05:36:28 UTC 2014"
"3ODOP6T3ASKIM2L1DJYC4AD18FU422","www.funwithasl.net/static/tt/sign3.html","police","teacher","parent","military","driver","A1GGOZPHYU0OC0","Choice 3","Tue Jul 08 06:25:17 UTC 2014"
"302OLP89DZ7AM9TKJDX9TQ8NCG3CAU","www.funwithasl.net/static/tt/sign4.html","rain","path","forest","cloud","soil","A3HB9PPUZU565U","Choice 2","Tue Jul 08 05:59:08 UTC 2014"
"3P4C70TRMRH4Z40TIQIISV9D4KTGLP","www.funwithasl.net/static/tt/sign5.html","man","king","kill","polite","angry","A1IV0802ICNA0A","Choice 1","Tue Jul 08 05:51:47 UTC 2014"
"30OITAWPBQ3NYYUVDZXA8MUJJQQ9HL","www.funwithasl.net/static/tt/sign6.html","crocodile","bird","lion","cat","squirrel","A841FR9QWUPT4","Choice 1","Tue Jul 08 05:31:33 UTC 2014"
"382GHPVPHSR77KHKHJCHNKITETU43D","www.funwithasl.net/static/tt/sign7.html","sparrow","spider","butterfly","squirrel","rabbit","A1GGOZPHYU0OC0","Choice 2","Tue Jul 08 06:25:56 UTC 2014"
"3R15W654VDTVCTU7LMNUM9DFA72LQP","www.funwithasl.net/static/tt/sign8.html","clown","healthy","overweight","playful","monkey","A1IV0802ICNA0A","Choice 3","Tue Jul 08 05:51:25 UTC 2014"
"3D0LPO3EABZCRGOQPOKGRCKB4LOOYC","www.funwithasl.net/static/tt/sign9.html","witch","applaud","happy","music","kitchen","A1IV0802ICNA0A","Choice 4","Tue Jul 08 05:33:00 UTC 2014"
"3VLL1PIENQOCW6YVLAMZ5JTDAFSOZ3","www.funwithasl.net/static/tt/sign10.html","shout","answer","grandmother","jump","whisper","A1IV0802ICNA0A","Choice 3","Tue Jul 08 05:35:01 UTC 2014"
"3MQY1YVHS3K2716ASY8ZCOJ7I7AB2E","www.funwithasl.net/static/tt/sign11.html","winter","prairie","open","rain","cloud","A1IV0802ICNA0A","Choice 1","Tue Jul 08 05:46:20 UTC 2014"
"3XU80RHWHZGSPG0OHXH0XPAZSTQ44Y","www.funwithasl.net/static/tt/sign12.html","battle","warrior","baseball","sport","angry","A3HB9PPUZU565U","Choice 3","Tue Jul 08 05:45:54 UTC 2014"
"3MYASTQBG7BCEH6F85P63W5A1Y0QDE","www.funwithasl.net/static/tt/sign13.html","home","deaf","sick","hungry","face","A1IV0802ICNA0A","Choice 2","Tue Jul 08 06:32:52 UTC 2014"
"3IH9TRB0FBZ55O2KF402TSDFLRH1IX","www.funwithasl.net/static/tt/sign14.html","Smell","sick","old","kid","short","A1IV0802ICNA0A","Choice 1","Tue Jul 08 05:36:23 UTC 2014"
"3IYI9285WS0LN2WODJAMMPB623WJCG","www.funwithasl.net/static/tt/sign15.html","coffee","cry","silly","feather","snow","A3HB9PPUZU565U","Choice 2","Tue Jul 08 05:52:02 UTC 2014"
